CO_UNIDADE;NO_UNIDADE
904;EPITACIO PESSOA, PB
905;CASA BRANCA, SP
906;COTIA, SP
907;FRANCO DA ROCHA, SP
908;POA, SP
909;ITAGUAI, RJ
910;ASSAI, PR
911;ALTO PETROPOLIS, RS
912;ESPUMOSO, RS
913;SAPUCAIA DO SUL, RS
914;SERRA TALHADA, PE
915;ARCOVERDE, PE
916;PALMARES, PE
917;MARCOS FREIRE, PE
918;IBAITI, PR
919;ALDEOTA, CE
920;JOSE DE ALENCAR, CE
921;BALNEARIO CAMBORIU, SC
922;SAPE, PB
923;13 DE MAIO, PE
924;TUCURUI, PA
925;PARAIBA DO SUL, RJ
926;BEZERRA DE MENEZES, CE
927;ITUVERAVA, SP
928;RIBEIRAO PIRES, SP
929;SAO SEPE, RS
930;FLORES DA CUNHA, RS
931;DOIS VIZINHOS, PR
932;LARANJEIRAS DO SUL, PR
934;FRUTAL, MG
935;SANTO AGOSTINHO, MG
936;ITURAMA, MG
937;JANAUBA, MG
938;MONTE SANTO DE MINAS, MG
939;NANUQUE, MG
940;SACRAMENTO, MG
941;SANTA RITA DO SAPUCAI, MG
942;UNAI, MG
943;GRAVATA, PE
944;PAULISTA, PE
945;VALENCA, RJ
946;PORANGATU, GO
947;BRUMADO, BA
948;CRUZ DAS ALMAS, BA
949;ITABERABA, BA
950;SANTO ANTONIO DE JESUS, BA
951;CANDEIAS, BA
952;URUACU, GO
953;GOIATUBA, GO
954;QUIRINOPOLIS, GO
955;PALOTINA, PR
956;MEDIANEIRA, PR
957;ASSIS CHATEAUBRIAND, PR
958;TRISTEZA, RS
959;VIAMAO, RS
960;SANTA BARBARA D OESTE, SP
961;SUMARE, SP
962;LENCOIS PAULISTA, SP
964;PRAIA GRANDE, SP
966;GOIOERE, PR
967;LOANDA, PR
968;MARECHAL CANDIDO RONDON, PR
969;MANDAGUARI, PR
970;CANTAGALO, RJ
972;SOBRADINHO, DF
973;PLANALTINA, DF
974;DOM BOSCO, DF
975;JUSTICA FEDERAL BRASILIA, DF
976;ITAQUAQUECETUBA, SP
977;OSVALDO CRUZ, SP
978;PIEDADE, SP
979;GUARUJA, SP
980;IBITINGA, SP
981;ITAPECERICA DA SERRA, SP
982;GRAMADO, RS
985;PAULO AFONSO, BA
987;PARANAIBA, MS
988;MONCOES, SP
990;LARGO DO BICAO, RJ
991;BARRA, BA
992;MIGUEL PEREIRA, RJ
993;MIGUELOPOLIS, SP
994;REDENCAO, PA
995;RIACHUELO, RJ
996;REPUBLICA DO LIBANO, GO
997;JUVEVE, PR
998;PINHEIRINHO, PR
999;JD. NOVA EUROPA, SP
1000;CIDADE SORRISO, PR
1001;VILA HAUER, PR
1002;AVENIDA LINS DE VASCONCELOS, SP
1003;VITAL BRASIL, SP
1004;SAO BENTO, SP
1005;PERDIZES, SP
1006;VILA FORMOSA, SP
1007;VILA GUILHERME, SP
